Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-14.0,-12.0,-7.0,-8.0,-8.0,-1.0,15.8,7.3	0.68855	0.0002355950341934487	0.801444	0.43376	83
MaxYieldNew_MinTime	-16.0,-18.0,-7.0,-2.0,0.0,-4.0,17.4,0.0	0.688468	0.00013149785322159101	0.778748	0.421162	78
MaxYieldNew_MinTime	-2.0,-18.0,-7.0,-4.0,-4.0,-6.0,-3.6,1.7	0.68829	0.0010636671821249609	0.999053	0.543447	127
MaxYieldNew_MinTime	-20.0,-10.0,-7.0,-12.0,-2.0,-7.0,20.6,14.2	0.687563	0.0062929199782318975	0.754271	0.407576	73
MaxYieldNew_MinTime	-2.0,-10.0,-7.0,-4.0,0.0,-6.0,-0.0,1.7	0.687446	0.0020773882941679273	0.997229	0.542435	127
MaxYieldNew_MinTime	-4.0,-10.0,-6.0,-2.0,-6.0,-7.0,1.7,-3.6	0.687301	0.0005330139043133819	0.996916	0.542262	127
MaxYieldNew_MinTime	-2.0,0.0,-6.0,-6.0,-16.0,-6.0,0.0,5.8	0.686896	0.00033567963027635706	0.982529	0.534275	124
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-4.0,-16.0,-3.0,0.5,4.7	0.686893	0.0005922299822151715	0.982522	0.534272	124
MaxYieldNew_MinTime	-2.0,-14.0,-7.0,-4.0,-4.0,-6.0,-3.6,1.7	0.686839	0.0008755525772427355	0.995917	0.541707	127
MaxYieldNew_MinTime	-10.0,0.0,-3.0,-18.0,-12.0,-7.0,10.1,19.0	0.686734	0.0006417818666685433	0.765992	0.414081	76
MaxYieldNew_MinTime	-6.0,-12.0,-5.0,-8.0,-16.0,-6.0,6.5,8.9	0.686267	0.0008145094544908148	0.904601	0.49102	107
MaxYieldNew_MinTime	-10.0,-2.0,-7.0,-6.0,-12.0,-7.0,11.3,4.7	0.685589	0.001316465551714944	0.889625	0.482707	104
MaxYieldNew_MinTime	-18.0,-16.0,-7.0,-6.0,-2.0,-1.0,19.0,5.7	0.685563	0.00011517385998916936	0.758955	0.410175	75
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-12.0,-10.0,-6.0,0.5,13.6	0.685451	0.0008543397582216182	0.826273	0.447542	90
MaxYieldNew_MinTime	-8.0,-14.0,-7.0,-10.0,0.0,-6.0,8.2,11.9	0.685327	0.0	0.893563	0.484893	105
MaxYieldNew_MinTime	-2.0,-10.0,-2.0,-4.0,-4.0,-7.0,2.3,0.5	0.685145	3.279214037460985e-05	1.001262	0.544674	129
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,0.0,-1.0,0.5,2.5	0.684779	4.444868482161233e-05	0.98696	0.536735	126
MaxYieldNew_MinTime	-8.0,-6.0,-6.0,-4.0,-12.0,-5.0,8.9,2.9	0.684111	0.0008754650092256712	0.917958	0.498434	111
MaxYieldNew_MinTime	-16.0,-14.0,-7.0,-2.0,-2.0,-1.0,17.4,2.5	0.683876	0.002547376758732074	0.771823	0.417318	79
MaxYieldNew_MinTime	-18.0,-8.0,-7.0,-12.0,-6.0,-5.0,19.0,13.0	0.683292	0.0020270265165263004	0.745039	0.402451	73
MaxYieldNew_MinTime	-20.0,-14.0,-7.0,-10.0,-10.0,-2.0,20.6,9.5	0.682092	3.861759007016396e-05	0.73794	0.398511	72
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-4.0,0.0,-2.0,0.5,4.7	0.681342	2.346794027231381e-08	0.975024	0.53011	125
